dtype,tasks,dim,num_transforms,mean_neighbors_target,max_neighbors,skew,filter_ratio,transform_active_ratio,early_exit_ratio,pareto_alpha,seed,total_edges,mean_count,p90_count,max_count,chunk_tokens,capacity_scale,actual_work_size,work_capacity,capacity_actual_ratio,overflowed,persistent_blocks,metadata_builder,variant,worklist_builder,order,ticket_batch_size,gpu_kernel_ms,cpu_preprocess_ms,h2d_metadata_ms,gpu_preprocess_ms,gpu_metadata_ms,metadata_build_event_ms,worklist_build_ms,worklist_build_event_ms,level2_compute_ms,end_to_end_ms,speedup_vs_static_node,end_to_end_speedup_vs_static_node,max_abs_diff
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2x,137,274,2.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01568010002374649,0.0,0.0,0.22220797836780548,0.15998800517991185,0.11313100159168243,0.06221997318789363,0.03440000116825104,0.01568010002374649,0.23788807839155196,0.9989796380922569,1.193376722474051,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,4x,137,548,4.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01568010002374649,0.0,0.0,0.22362000891007483,0.15998800517991185,0.11313100159168243,0.06363200373016298,0.03531999886035919,0.01568010002374649,0.2393001089338213,0.9989796380922569,1.186335002400983,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,8x,137,1096,8.0,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.01568010002374649,0.0,0.0,0.2251430123578757,0.15998800517991185,0.11313100159168243,0.06515500717796385,0.03691999986767769,0.01568010002374649,0.24082311238162218,0.9989796380922569,1.1788324322322177,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,max,137,2048,14.94890510948905,0,48,gpu,static_chunked_fixed,fixed,identity,0,0.015804100036621093,0.0,0.0,0.22404099581763148,0.15998800517991185,0.11313100159168243,0.06405299063771963,0.03471999987959862,0.015804100036621093,0.23984509585425257,0.991141577861186,1.1836393581258497,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,exact,137,137,1.0,0,48,gpu,persistent_chunked,gpu,identity,1,0.02515619993209839,0.0,0.0,0.26822599465958774,0.15998800517991185,0.11313100159168243,0.10823798947967589,0.0742809996008873,0.02515619993209839,0.29338219459168613,0.6226735631475817,0.9676459599113152,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,exact,137,137,1.0,0,48,gpu,static_chunked,gpu,bucket,0,0.015456099808216096,0.0,0.0,0.27024999144487083,0.15998800517991185,0.11313100159168243,0.11026198626495898,0.07232099771499634,0.015456099808216096,0.28570609125308694,1.0134575243002761,0.9936438318883517,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,1x,137,137,1.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.017581099271774293,0.0,0.0,0.22419102606363595,0.15998800517991185,0.11313100159168243,0.0642030208837241,0.03468000143766403,0.017581099271774293,0.24177212533541023,0.8909625277027303,1.1742052352508376,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,1.25x,137,172,1.2554744525547445,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01594409942626953,0.0,0.0,0.2238409942947328,0.15998800517991185,0.11313100159168243,0.06385298911482096,0.03579999879002571,0.01594409942626953,0.23978509372100235,0.9824387209455337,1.1839355437034615,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,2x,137,274,2.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.015724100172519684,0.0,0.0,0.2347209956496954,0.15998800517991185,0.11313100159168243,0.07473299046978354,0.03739999979734421,0.015724100172519684,0.2504450958222151,0.9961842315370207,1.133542241562147,0.0
fp16,32,64,8,32,256,0.8,0.6,0.5,0.5,1.3,2,959,29.96875,56.80000000000001,211,32,4x,137,548,4.0,0,48,gpu,static_chunked_fixed,fixed,bucket,0,0.01583220064640045,0.0,0.0,0.2231700054835528,0.15998800517991185,0.11313100159168243,0.06318200030364096,0.03579999879002571,0.01583220064640045,0.23900220612995327,0.9893823983675943,1.1878137022392175,0.0
