dtype,tasks,tile_tokens,dim,num_transforms,pattern,seed,lds_fits,policy,best_variant,global_ms,lds_ms,chunk2_ms,chunk4_ms,chunk8_ms,auto_ms,auto_speedup_vs_global,best_speedup_vs_global,auto_vs_best,max_abs_diff_auto
fp16,32,64,128,8,tail-negative,2,1,graph_global,global,0.018020200729370116,0.04451659917831421,0.02079630047082901,0.028920400142669677,0.04441260099411011,0.01780419945716858,1.0121320406863092,1.0,1.0121320406863092,0.0
fp16,32,64,128,16,random,0,1,graph_global,global,0.025792300701141357,0.07922499775886535,0.026000401377677916,0.031240400671958924,0.04751259982585907,0.025432300567626954,1.0141552327347314,1.0,1.0141552327347314,0.0
fp16,32,64,128,16,random,1,1,graph_global,global,0.025692299008369446,0.07973690032958984,0.026492300629615783,0.030996400117874145,0.04760459959506989,0.025728398561477663,0.9985968985585342,1.0,0.9985968985585342,0.0
fp16,32,64,128,16,random,2,1,graph_global,chunk2,0.025420299172401427,0.07846099734306336,0.025296300649642944,0.030760401487350465,0.046908599138259885,0.02522430121898651,1.0077702034919955,1.0049018441263755,1.0028543677000747,0.0
fp16,32,64,128,16,contiguous,0,1,graph_global,chunk2,0.025728300213813782,0.07983689904212951,0.025712299346923827,0.03131240010261536,0.047708600759506226,0.02546829879283905,1.0102088256105992,1.0006223040061124,1.009580559583877,0.0
fp16,32,64,128,16,contiguous,1,1,graph_global,chunk2,0.02583630084991455,0.07892889976501465,0.025500300526618957,0.030792400240898132,0.046900498867034915,0.025584301352500914,1.0098497705269174,1.0131763279787567,0.996716704328776,0.0
fp16,32,64,128,16,contiguous,2,1,graph_global,global,0.025528299808502197,0.07964900135993958,0.025764301419258118,0.03132439851760864,0.047820600867271426,0.025452399253845216,1.0029820589367626,1.0,1.0029820589367626,0.0
fp16,32,64,128,16,page-cross,0,1,graph_global,global,0.02543630003929138,0.07869300246238708,0.025540301203727724,0.03098439872264862,0.04727259874343872,0.025352299213409424,1.0033133415306776,1.0,1.0033133415306776,0.0
fp16,32,64,128,16,page-cross,1,1,graph_global,chunk2,0.025588300824165345,0.07829290032386779,0.02558029890060425,0.03040429949760437,0.04678860008716583,0.026076298952102662,0.9812857595767835,1.00031281587413,0.9809788938066144,0.0
fp16,32,64,128,16,page-cross,2,1,graph_global,chunk2,0.025452300906181335,0.07849299907684326,0.025440299510955812,0.0306443989276886,0.04657660126686096,0.025352400541305543,1.003940469649532,1.0004717474029878,1.0034670866574176,0.0
fp16,32,64,128,16,tail-negative,0,1,graph_global,global,0.025556299090385436,0.07980899810791016,0.02605629861354828,0.030600398778915405,0.04694460034370422,0.02605229914188385,0.9809613712479985,1.0,0.9809613712479985,0.0
fp16,32,64,128,16,tail-negative,1,1,graph_global,global,0.025424298644065858,0.07883700132369995,0.02629629969596863,0.030812400579452514,0.047216498851776124,0.02615639865398407,0.9720106724322807,1.0,0.9720106724322807,0.0
fp16,32,64,128,16,tail-negative,2,1,graph_global,global,0.025288298726081848,0.07874900102615356,0.025588300824165345,0.03104040026664734,0.04733259975910187,0.025104299187660217,1.007329403503607,1.0,1.007329403503607,0.0
fp16,32,64,128,32,random,0,1,graph_lds_chunked(chunk=2),chunk2,0.040816500782966614,0.15186189413070678,0.03918449878692627,0.03977650105953216,0.050356698036193845,0.03912050127983093,1.0433532150062217,1.0416491736927576,1.001635907133131,0.0
fp16,32,64,128,32,random,1,1,graph_lds_chunked(chunk=2),chunk2,0.04059650003910065,0.15410590171813965,0.03981649875640869,0.04068050086498261,0.051292598247528076,0.03908849954605102,1.0385791347982805,1.0195899013487821,1.01862438361186,0.0
fp16,32,64,128,32,random,2,1,graph_lds_chunked(chunk=2),chunk2,0.0410645991563797,0.152121901512146,0.03967649936676025,0.03993239998817444,0.0503525972366333,0.03898850083351135,1.0532489908174132,1.0349854400406695,1.0176461910189056,0.0
fp16,32,64,128,32,contiguous,0,1,graph_lds_chunked(chunk=2),chunk4,0.04058850109577179,0.15136990547180176,0.039592400193214417,0.03951649963855743,0.05040460228919983,0.038956499099731444,1.0418929327263804,1.0271279457193718,1.014375022185447,0.0
fp16,32,64,128,32,contiguous,1,1,graph_lds_chunked(chunk=2),chunk4,0.04068849980831146,0.15129380226135253,0.03930450081825256,0.039056500792503356,0.049908599257469176,0.038928499817848204,1.0452110920970121,1.0417855922239034,1.0032881044801132,0.0
fp16,32,64,128,32,contiguous,2,1,graph_lds_chunked(chunk=2),chunk2,0.040556499361991884,0.15093380212783813,0.03901639878749848,0.03912450075149536,0.05005660057067871,0.03889650106430054,1.0426773167835115,1.0394731605774667,1.003082480940888,0.0
fp16,32,64,128,32,page-cross,0,1,graph_lds_chunked(chunk=2),chunk2,0.04047249853610992,0.1504459023475647,0.039196398854255673,0.039456498622894284,0.0505607008934021,0.03870449960231781,1.0456794158807892,1.0325565541518031,1.0127090973140602,0.0
fp16,32,64,128,32,page-cross,1,1,graph_lds_chunked(chunk=2),chunk2,0.0413765013217926,0.15215389728546141,0.03918839991092682,0.039356499910354614,0.0500806987285614,0.0397724986076355,1.040329442964621,1.0558354364005478,0.9853140054772282,0.0
fp16,32,64,128,32,page-cross,2,1,graph_lds_chunked(chunk=2),chunk4,0.0405364990234375,0.15039780139923095,0.03912450075149536,0.0388604998588562,0.05023260116577148,0.03900049924850464,1.039384105448131,1.043128605413431,0.9964103180126903,0.0
fp16,32,64,128,32,tail-negative,0,1,graph_lds_chunked(chunk=2),chunk2,0.040360501408576964,0.1519299030303955,0.039112401008605954,0.03994849920272827,0.05059670209884644,0.03874450027942657,1.041709174656938,1.031910605531386,1.0094955600543578,0.0
fp16,32,64,128,32,tail-negative,1,1,graph_lds_chunked(chunk=2),chunk2,0.04026449918746948,0.15232789516448975,0.038608399033546445,0.039556500315666196,0.050140601396560666,0.0389724999666214,1.033151561279226,1.0428948155162836,0.9906574909644802,0.0
fp16,32,64,128,32,tail-negative,2,1,graph_lds_chunked(chunk=2),chunk2,0.040728500485420226,0.15090190172195433,0.038908499479293826,0.03926050066947937,0.04991660118103027,0.03939250111579895,1.033915068395732,1.0467764378087867,0.9877133560247331,0.0
fp16,32,128,32,8,random,0,1,graph_global,global,0.012648199498653413,0.027924400568008424,0.0141402006149292,0.018844200670719145,0.027580299973487855,0.01252020001411438,1.010223437676294,1.0,1.010223437676294,0.0
fp16,32,128,32,8,random,1,1,graph_global,global,0.012692099809646607,0.02786029875278473,0.01411219984292984,0.01885630041360855,0.027708399295806884,0.012380199879407883,1.0251934486742424,1.0,1.0251934486742424,0.0
fp16,32,128,32,8,random,2,1,graph_global,global,0.012628099322319031,0.0278562992811203,0.014188100397586823,0.018888199329376222,0.02769629955291748,0.012388099730014802,1.019373398465847,1.0,1.019373398465847,0.0
fp16,32,128,32,8,contiguous,0,1,graph_global,global,0.012676100432872772,0.02786029875278473,0.0141402006149292,0.01886419951915741,0.02772040069103241,0.012572099268436433,1.0082723785595176,1.0,1.0082723785595176,0.0
fp16,32,128,32,8,contiguous,1,1,graph_global,global,0.012504200637340545,0.027872300148010253,0.014260099828243255,0.018872199952602385,0.027812299132347108,0.012508100271224976,0.9996882313221136,1.0,0.9996882313221136,0.0
fp16,32,128,32,8,contiguous,2,1,graph_global,global,0.0126800999045372,0.02790830135345459,0.014216199517250061,0.018876199424266816,0.02771629989147186,0.012452100217342377,1.018310139110291,1.0,1.018310139110291,0.0
fp16,32,128,32,8,page-cross,0,1,graph_global,global,0.012800200283527375,0.027868300676345825,0.01416810005903244,0.01883620023727417,0.027708300948143007,0.012492100149393082,1.0246635978298062,1.0,1.0246635978298062,0.0
fp16,32,128,32,8,page-cross,1,1,graph_global,global,0.012512199580669403,0.02788040041923523,0.014264200627803803,0.01885620057582855,0.027764299511909486,0.01249620020389557,1.001280339344183,1.0,1.001280339344183,0.0
fp16,32,128,32,8,page-cross,2,1,graph_global,global,0.012700200080871582,0.02783229947090149,0.014144200086593627,0.018828299641609193,0.02774440050125122,0.012528200447559357,1.0137289975549308,1.0,1.0137289975549308,0.0
